epoch,train_loss,train_acc,val_fused_loss,val_fused_acc,val_img_acc,val_sen_acc,lr,epoch_time_s
1,0.55621,0.922,0.09366,1.0,0.75,0.9995,0.00029979511544580873,5.4
2,0.52584,0.93117,0.10253,1.0,1.0,1.0,0.0002991810233575568,4.1
3,0.51128,0.93573,0.09941,1.0,0.75,1.0,0.00029815940691897306,3.9
4,0.50703,0.94127,0.09269,1.0,0.839,0.9995,0.0002967330663097039,4.2
5,0.52329,0.92527,0.10014,1.0,1.0,0.9985,0.00029490591103021566,4.1
6,0.49847,0.94633,0.10446,1.0,0.75,1.0,0.0002926829491861254,4.0
7,0.49901,0.94263,0.09657,1.0,1.0,1.0,0.0002900702737613316,4.1
8,0.51337,0.934,0.0982,1.0,0.9955,0.9995,0.00028707504591756876,4.1
9,0.51502,0.93247,0.09204,1.0,0.777,1.0,0.0002837054753661609,4.1
10,0.52555,0.9242,0.08519,1.0,0.893,1.0,0.00027997079786577355,4.1
11,0.52807,0.92137,0.09782,1.0,0.7525,1.0,0.00027588124990784085,4.1
12,0.51139,0.93497,0.09112,1.0,0.75,1.0,0.0002714480406590546,4.1
13,0.51054,0.93507,0.09377,1.0,0.75,1.0,0.00026668332123781714,4.0
14,0.50608,0.93727,0.097,1.0,1.0,1.0,0.00026160015140887043,4.1
15,0.50263,0.9393,0.0935,1.0,0.75,1.0,0.0002562124637873889,4.2
16,0.50934,0.9352,0.09716,1.0,0.7625,1.0,0.00025053502565064933,4.0
17,0.50121,0.94173,0.0912,1.0,0.9415,0.9995,0.00024458339846195065,4.1
18,0.50162,0.9416,0.09414,1.0,0.7925,1.0,0.00023837389521772471,4.1
19,0.5117,0.93347,0.09569,1.0,0.97,0.999,0.0002319235357347465,4.0
20,0.51443,0.92953,0.09439,1.0,0.831,0.9995,0.00022524999999999997,4.0
21,0.51715,0.9298,0.09342,1.0,0.7535,0.9995,0.00021837157971106222,4.1
22,0.50425,0.9396,0.09781,1.0,0.9815,1.0,0.00021130712813983215,4.1
23,0.51282,0.93263,0.09066,1.0,0.75,0.9995,0.00020407600845702244,4.1
24,0.49652,0.94563,0.09044,1.0,0.998,0.999,0.00019669804065905466,4.0
25,0.50196,0.93997,0.08731,1.0,0.75,0.999,0.00018919344724282686,4.0
26,0.50899,0.9349,0.09898,1.0,0.8135,0.9995,0.000181582797777255,4.1
27,0.52344,0.9254,0.08672,1.0,0.75,0.999,0.0001738869525235145,4.3
28,0.51016,0.93307,0.09061,1.0,0.995,0.9995,0.00016612700525851418,4.5
29,0.50661,0.937,0.09143,1.0,0.812,0.999,0.00015832422545832006,4.4
30,0.51692,0.9288,0.09086,1.0,1.0,0.999,0.00015050000000000003,4.2
31,0.50996,0.93287,0.09322,1.0,0.75,0.999,0.0001426757745416799,4.2
32,0.52887,0.92147,0.08664,1.0,0.75,0.9995,0.00013487299474148582,4.1
33,0.52085,0.9263,0.09207,1.0,0.751,0.9995,0.00012711304747648546,4.3
34,0.50168,0.9416,0.0898,1.0,0.9925,0.999,0.00011941720222274495,4.0
35,0.51041,0.93417,0.08937,1.0,0.911,0.9995,0.00011180655275717316,4.0
36,0.49526,0.94557,0.09169,1.0,0.75,0.9995,0.00010430195934094536,4.1
37,0.52962,0.92193,0.09365,1.0,0.75,0.998,9.69239915429776e-05,4.1
38,0.52197,0.9254,0.08865,1.0,0.7525,0.9995,8.969287186016789e-05,4.1
39,0.48585,0.9534,0.08959,1.0,0.7525,0.999,8.262842028893776e-05,4.1
40,0.49464,0.9465,0.09299,1.0,0.7575,0.9985,7.575000000000004e-05,3.8
41,0.51244,0.93323,0.09322,1.0,0.899,0.998,6.907646426525351e-05,4.1
42,0.51061,0.9365,0.09165,1.0,0.8045,0.999,6.26261047822753e-05,4.1
43,0.50134,0.94227,0.09162,1.0,0.98,0.9985,5.641660153804934e-05,4.1
44,0.50936,0.93823,0.09119,1.0,0.853,0.996,5.046497434935076e-05,4.8
45,0.50203,0.94157,0.09049,1.0,0.772,0.9995,4.478753621261117e-05,4.3
46,0.5105,0.9373,0.09128,1.0,0.8195,0.998,3.93998485911296e-05,4.0
47,0.53508,0.91883,0.09159,1.0,0.7665,0.997,3.431667876218286e-05,4.0
48,0.52033,0.93097,0.09065,1.0,0.7555,0.9975,2.9551959340945383e-05,4.0
49,0.50904,0.93947,0.08832,1.0,0.808,0.9985,2.511875009215913e-05,4.1
50,0.50616,0.94057,0.08913,1.0,0.8625,0.9985,2.1029202134226422e-05,4.1
51,0.51455,0.936,0.09043,1.0,0.8715,0.9975,1.7294524633839024e-05,4.2
52,0.53099,0.92313,0.0902,1.0,0.7845,0.999,1.392495408243116e-05,4.2
53,0.50231,0.94373,0.09054,1.0,0.7935,0.999,1.0929726238668344e-05,4.8
54,0.52376,0.93103,0.09086,1.0,0.79,0.9985,8.31705081387455e-06,4.4
55,0.49436,0.94927,0.08954,1.0,0.7705,0.9995,6.09408896978429e-06,4.1
56,0.51368,0.93753,0.09028,1.0,0.7805,0.997,4.266933690296051e-06,4.4
57,0.51312,0.93847,0.08914,1.0,0.7755,0.997,2.840593081026921e-06,4.1
58,0.50519,0.943,0.09046,1.0,0.779,0.999,1.818976642443127e-06,4.0
59,0.4906,0.95193,0.09002,1.0,0.7805,0.9975,1.204884554191212e-06,4.2
60,0.50931,0.94013,0.08988,1.0,0.785,0.999,1e-06,4.1
